0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
"RT @The_skpandit: !!...BREAKING NEWS...!!

????-??? ???? LAC ?? ?????? ???? ?? ""2 ??? "" ???? ?????..!!

#indian_army??
#??_????_??_????"," !!...breaking news...!!

????-??? ???? lac ?? ?????? ???? ?? ""2 ??? "" ???? ?????..!!

#indian_army??
#??_????_??_????",0.0,0.0,neutral,0.0,1.0,0.0,0.0,118,16
@ANI And here we go to see new vacancy for the post and new opportunity to our beloved Indian army to spend some bu… https://t.co/YEW9qoWjhY,  and here we go to see new vacancy for the post and new opportunity to our beloved indian army to spend some bu…  ,0.3242424242424242,0.6363636363636364,positive,0.0,0.775,0.225,0.7269,115,23
"RT @MajorPoonia: This night of 1987, Captain Bana Singh,Paramveer Dhakra ?lead his assault team and captured Pakistani Army’s Qaid Post in…"," this night of 1987, captain bana singh,paramveer dhakra ?lead his assault team and captured pakistani army’s qaid post in…",0.0,0.0,negative,0.174,0.826,0.0,-0.5859,123,19
"RT @nighat_abbas: Saviour of #Kashmir, Indian Army yet again came to the rescue of people in trouble.

Army responded to an outbreak of fir…"," saviour of #kashmir, indian army yet again came to the rescue of people in trouble.

army responded to an outbreak of fir…",-0.2,0.2,positive,0.104,0.769,0.127,0.1531,123,22
"@dpoignon My Harley didn’t have the back seat &amp; trunk, because I ride alone.
My hands are beginning to give me issu… https://t.co/2BfbiiV5On","  my harley didn’t have the back seat &amp; trunk, because i ride alone.
my hands are beginning to give me issu…  ",0.0,0.0,negative,0.095,0.905,0.0,-0.25,114,21
RT @AdityaRajKaul: India’s defence Minister Rajnath Singh met soldiers of Indian Army in Ladakh earlier today. ?? https://t.co/o2jaUD7VYl, india’s defence minister rajnath singh met soldiers of indian army in ladakh earlier today. ??  ,0.0,0.5,positive,0.0,0.909,0.091,0.1027,97,15
"RT @jindadilkashmir: Indian Army - Always with The Awaam
During this pandemic, #IndianArmy ensuring the well beings of Gujjars &amp; Bakarwals…"," indian army - always with the awaam
during this pandemic, #indianarmy ensuring the well beings of gujjars &amp; bakarwals…",0.0,0.0,positive,0.0,0.792,0.208,0.4939,123,19
"RT @KreatelyOSINT: ??? Indian Army carried out Airborne Exercise to validate its Rapid Response Capability

Exercise entailed Para Drop of…"," ??? indian army carried out airborne exercise to validate its rapid response capability

exercise entailed para drop of…",0.0,0.0,positive,0.102,0.777,0.121,0.1027,121,18
"RT @Rifa_e_Aam: Kashmir conveys a heartfelt gratitude to the Indian Army for protecting and serving them.. Come What May ! 
Jawan aur Awaam…"," kashmir conveys a heartfelt gratitude to the indian army for protecting and serving them.. come what may ! 
jawan aur awaam…",0.0,1.0,positive,0.0,0.706,0.294,0.7959,125,21
"RT @MrsGandhi: Defence Minister @RajnathSingh ji and Indian Army personnel chanting 'Waheguru ji ka Khalsa, Waheguru ji ki Fateh' in chorus…"," defence minister   ji and indian army personnel chanting 'waheguru ji ka khalsa, waheguru ji ki fateh' in chorus…",0.0,0.0,positive,0.0,0.924,0.076,0.1027,114,18
"RT @Rifa_e_Aam: INDIAN ARMY stepped in &amp; real time coordination between Army, Airforce and Civil Administration was carried out to refill t…"," indian army stepped in &amp; real time coordination between army, airforce and civil administration was carried out to refill t…",0.2,0.30000000000000004,neutral,0.0,1.0,0.0,0.0,129,20
RT @Rifa_e_Aam: #Indian #ARMY pasted posters in #delina #Baramulla related to #FightAgainstCOVID19 to create awareness among public so that…, #indian #army pasted posters in #delina #baramulla related to #fightagainstcovid19 to create awareness among public so that…,0.0,0.23333333333333334,positive,0.0,0.884,0.116,0.2732,125,17
RT @ByRakeshSimha: Alexander’s invasion of India is regarded as a huge European victory. But his army may have suffered a fate worse than N…, alexander’s invasion of india is regarded as a huge european victory. but his army may have suffered a fate worse than n…,1.850371707708594e-17,0.5,negative,0.312,0.627,0.061,-0.8316,122,22
"???? ?? ?? ???,
?????? ???????? ??,
???? ??? ?? ???? ???.!!!
???? ??? ???,
?? ????? ?? ?????,
???? ??? ?? ???? ???.… https://t.co/FHBvLzUIz8","???? ?? ?? ???,
?????? ???????? ??,
???? ??? ?? ???? ???.!!!
???? ??? ???,
?? ????? ?? ?????,
???? ??? ?? ???? ???.…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,118,24
"RT @elitepredatorss: Defence Minister launched 63 infrastructure projects from Ladakh today. On the other hand, it is now confirmed that th…"," defence minister launched 63 infrastructure projects from ladakh today. on the other hand, it is now confirmed that th…",0.1375,0.6875,positive,0.0,0.724,0.276,0.6249,120,19
"RT @abierkhatib: How to show the world that u r the most immoral child-abuser army in one pic? 

Zaid Bassam was arrested today fm his home…"," how to show the world that u r the most immoral child-abuser army in one pic? 

zaid bassam was arrested today fm his home…",0.5,0.5,negative,0.242,0.758,0.0,-0.7501,124,24
"RT @V0YAGERTWEETS: These army men posted in the ravines of Arunachal Pradesh, took out extra time from their duty to clean, paint and renov…"," these army men posted in the ravines of arunachal pradesh, took out extra time from their duty to clean, paint and renov…",0.18333333333333335,0.4,positive,0.0,0.886,0.114,0.4019,122,22
"RT @MalkiatCol: India is not there on LAC for sight seeing. China always lives in dreams of past superiority. 
Indian army is known for dre…"," india is not there on lac for sight seeing. china always lives in dreams of past superiority. 
indian army is known for dre…",-0.25,0.25,positive,0.0,0.805,0.195,0.6249,125,23
"@swatikhatri_ I am the son of Bharat Mata.?I have not a name,My mother name is Bharat Mata,my brother is All India… https://t.co/ptzlf4v79F"," _ i am the son of bharat mata.?i have not a name,my mother name is bharat mata,my brother is all india…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,106,21
Excited to share the latest addition to my #etsy shop: Vintage Indian Army Band with 12 Miniature Clay Soldiers in… https://t.co/nFB6xlO5n1,excited to share the latest addition to my #etsy shop: vintage indian army band with 12 miniature clay soldiers in…  ,0.4375,0.825,positive,0.0,0.796,0.204,0.5574,117,20
@iHShaheen Paki masom awam bechare istra khush ho rhy jese kashmir fatah kiya ho waha lakho indian army hy naqsho se kuch nhi hota,  paki masom awam bechare istra khush ho rhy jese kashmir fatah kiya ho waha lakho indian army hy naqsho se kuch nhi hota,0.0,0.0,neutral,0.0,1.0,0.0,0.0,121,23
RT @desi_thug1: Meet Dr. Deepshikha chettri the proud daughter of bharat now a captain and the second female officer from the sikkim state…, meet dr. deepshikha chettri the proud daughter of bharat now a captain and the second female officer from the sikkim state…,0.26666666666666666,0.3888888888888889,positive,0.0,0.86,0.14,0.4767,124,21
@Anubakshi8 I am Indian  Army fan and you?,  i am indian  army fan and you?,0.0,0.0,positive,0.0,0.685,0.315,0.3182,32,7
"India is not there on LAC for sight seeing. China always lives in dreams of past superiority. 
Indian army is known… https://t.co/SQsD8epn4I","india is not there on lac for sight seeing. china always lives in dreams of past superiority. 
indian army is known…  ",-0.25,0.25,positive,0.0,0.788,0.212,0.6249,118,21
RT @vivekagnihotri: They said it was Indian Army that killed Sikhs to disrepute Islam. When I reminded them about Guru Gobind Singh’s teach…, they said it was indian army that killed sikhs to disrepute islam. when i reminded them about guru gobind singh’s teach…,-0.2,0.0,negative,0.191,0.809,0.0,-0.6705,121,21
"Probable War News.
Indian Army deployed 50 Thousand more soldiers at Indo China Borders as Offensive defend tequnic… https://t.co/1NxkO02gmv","probable war news.
indian army deployed 50 thousand more soldiers at indo china borders as offensive defend tequnic…  ",0.5,0.5,negative,0.301,0.699,0.0,-0.7845,118,18
@Siddiqu40610228 @AsYouNotWish @Agamya66 Army is still same size since many many years so that data matters. Also w… https://t.co/XouFh83h4i,      army is still same size since many many years so that data matters. also w…  ,0.3333333333333333,0.375,positive,0.0,0.911,0.089,0.0935,83,15
"@majorgauravarya Any update sir ? 

Its a complete failure and embarrassing situation for india infront of global v… https://t.co/tZywWatabf","  any update sir ? 

its a complete failure and embarrassing situation for india infront of global v…  ",-0.07222222222222223,0.2333333333333333,negative,0.312,0.688,0.0,-0.7096,103,17
CAPT KENGURUSE NEIKEZHAKUO is still the shining star of the Indian Army. https://t.co/DWZmBzo4LQ,capt kenguruse neikezhakuo is still the shining star of the indian army.  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,74,12
"@jaspreetgill96 Real or fake I'd Kya hota hai? Guts to bhinderwal me nahi thi ladne ki, temple me chhup ke betha th… https://t.co/rIVbuZH39J","  real or fake i'd kya hota hai? guts to bhinderwal me nahi thi ladne ki, temple me chhup ke betha th…  ",-0.75,1.0,negative,0.134,0.866,0.0,-0.4767,104,21
@Sarah25568253 @sheikhr02178827 @majorgauravarya @ChanakyaForum ? Ambani can rule you . He doesn't rule but give mi… https://t.co/H6kPdPYkFT,        ? ambani can rule you . he doesn't rule but give mi…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,62,12
"@dpoignon @muchado33 Nope the Indian motorcycle says home, it’s my thing not hers. 
I normally go on trips with old… https://t.co/poIOLWihoh","    nope the indian motorcycle says home, it’s my thing not hers. 
i normally go on trips with old…  ",0.15,0.6499999999999999,neutral,0.0,1.0,0.0,0.0,101,18
@saywooooooo @mwilayatali @PravinSawhney RAW trained W. Bengalis Hindus as East Pakistani Muslims as Mukti Bahini i… https://t.co/1l2iReDyi8,      raw trained w. bengalis hindus as east pakistani muslims as mukti bahini i…  ,-0.23076923076923078,0.46153846153846156,neutral,0.0,1.0,0.0,0.0,83,13
RT @_second2none__: #GoldenJubilee of the victory of Indian Armed forces against Pakistan Army in 1971 the #SwarnimVijayFlame was taken ove…, #goldenjubilee of the victory of indian armed forces against pakistan army in 1971 the #swarnimvijayflame was taken ove…,0.0,0.0,neutral,0.0,1.0,0.0,0.0,121,18
RT @ejazhaider: if armed struggle against an occupation/oppressive force is 'terrorism' then take another hard look at the map. Poonchis (i…, if armed struggle against an occupation/oppressive force is 'terrorism' then take another hard look at the map. poonchis (i…,-0.2916666666666667,0.5416666666666666,negative,0.179,0.821,0.0,-0.4019,125,19
"RT @elitepredatorss: @attorneyrahulk @Maverickmusafir It's Field Marshal Manekshaw Vakeel Sahab, General is one rank lower than FM rank.  F…","     it's field marshal manekshaw vakeel sahab, general is one rank lower than fm rank.  f…",-0.5166666666666667,0.7666666666666666,negative,0.136,0.864,0.0,-0.296,91,15
"@suryaxavier1 @NakeRsssss Another #Pulwama style and scapegoat Pakistan? 
Modi is the first enemy of Indian army.","    another #pulwama style and scapegoat pakistan? 
modi is the first enemy of indian army.",0.25,0.3333333333333333,negative,0.341,0.659,0.0,-0.7351,91,14
@youwillbeowned1 @Qaos_Qitty @townhallcom I got that Indian Privilege also Cherokee called work hard. Join the Army did 20 years.,   _qitty   i got that indian privilege also cherokee called work hard. join the army did 20 years.,-0.2916666666666667,0.5416666666666666,positive,0.073,0.681,0.246,0.5106,99,17
@WanderlustIDC @hope17861 @Anvika2474 @NinjaJadugar @kakar_harsha Stop twisting facts what I am referring to is Har… https://t.co/qjSlRYOn3E,         _harsha stop twisting facts what i am referring to is har…  ,0.0,0.0,negative,0.196,0.804,0.0,-0.296,69,11
"RT @keashurkot: Indian Army asked for 2 More divisions of force to fight 3 Rebels in #Maloora Srinagar.
 Already 50000:3
Sources."," indian army asked for 2 more divisions of force to fight 3 rebels in #maloora srinagar.
 already 50000:3
sources.",0.5,0.5,negative,0.227,0.773,0.0,-0.5267,114,19
"@BittuTuFanii Ghanta jayenge, aatankwadiyon se sabki fatati hai, Indian Army  ke alawa.","  ghanta jayenge, aatankwadiyon se sabki fatati hai, indian army  ke alawa.",0.0,0.0,neutral,0.0,1.0,0.0,0.0,75,11
"@kaushal1610 @ManishY07014487 @saibharadwaj @parindeeyy @CZAR269 @MeghUpdates HIjda fauj kuch nai karr saki. ""Pleas… https://t.co/pprliDgyjn","            hijda fauj kuch nai karr saki. ""pleas…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,52,7
"RT @rose_k01: LeT Commander T?????ist Nadeem Abrar starts wailing ?? after being arrested &amp; given just a little ""treatment"" by Indian secur…"," let commander t?????ist nadeem abrar starts wailing ?? after being arrested &amp; given just a little ""treatment"" by indian secur…",-0.1875,0.5,negative,0.147,0.853,0.0,-0.4767,131,20
@IndiaToday @AbhishekBhalla7 This time #Bharata got lucky with zero loss of life and minimal collateral damage. The… https://t.co/MsVUxg0PWe,    this time #bharata got lucky with zero loss of life and minimal collateral damage. the…  ,0.11666666666666665,0.7166666666666667,negative,0.271,0.591,0.138,-0.4019,93,15
@parindeeyy @Mi_sh_ani @saibharadwaj @kaushal1610 @CZAR269 @MeghUpdates Hahaha India was split in three pieces. Ban… https://t.co/5NgemEJs5E,   _sh_ani         hahaha india was split in three pieces. ban…  ,0.2,0.4,positive,0.0,0.69,0.31,0.5574,65,9
Coward indian army https://t.co/S6H03PMxMH,coward indian army  ,0.0,0.0,negative,0.6,0.4,0.0,-0.4588,20,3
RT @Wissenzoro: Indian Army releases a video on the first anniversary of the Galwan Valley clash in which 20 Indian soldiers were killed wh…, indian army releases a video on the first anniversary of the galwan valley clash in which 20 indian soldiers were killed wh…,0.024999999999999994,0.16666666666666666,negative,0.184,0.816,0.0,-0.6705,125,22
what is this what Indian army want to show to Media @washingtonpost @nytimes @guardian @khaleejtimes https://t.co/FLvKv7Wy8b,what is this what indian army want to show to media          ,0.0,0.0,positive,0.0,0.885,0.115,0.0772,61,11
@FascistTwitttrr @COMMLX I am not aware that Army has issued any such direction abt reporting in such matters...AFA… https://t.co/PYx2JVeKlU,    i am not aware that army has issued any such direction abt reporting in such matters...afa…  ,-0.041666666666666664,0.4166666666666667,neutral,0.0,1.0,0.0,0.0,97,16
The RBC is requesting the Army Corps rescind or suspend their permit and asked that the Biden Administration stand… https://t.co/U4ct1pkZCa,the rbc is requesting the army corps rescind or suspend their permit and asked that the biden administration stand…  ,0.0,0.0,negative,0.113,0.887,0.0,-0.3182,117,19
"RT @HCavArchive: No records show the Royal Dragoons serving in the China Wars, but it may have been taken by a Royal Dragoon who was attach…"," no records show the royal dragoons serving in the china wars, but it may have been taken by a royal dragoon who was attach…",0.0,0.0,negative,0.157,0.843,0.0,-0.4404,124,24
"??? Indian Army carried out Airborne Exercise to validate its Rapid Response Capability

Exercise entailed Para Dro… https://t.co/fu10oi0raf","??? indian army carried out airborne exercise to validate its rapid response capability

exercise entailed para dro…  ",0.0,0.0,positive,0.0,0.865,0.135,0.3612,118,17
@BharadwajSpeaks The numbers in Indian Army reflects bravery of Sikhs n legal slavery /sycophants numbers of Indian… https://t.co/nCzvWU4Vki,  the numbers in indian army reflects bravery of sikhs n legal slavery /sycophants numbers of indian…  ,0.2,0.2,negative,0.223,0.558,0.219,-0.2732,103,16
"RT @MirrorNow: #JammuDroneAttack 

What is required at the preparation level? 

General VP Malik, Former Indian Army Chief shares his exper…"," #jammudroneattack 

what is required at the preparation level? 

general vp malik, former indian army chief shares his exper…",0.02500000000000001,0.25,positive,0.0,0.885,0.115,0.296,126,18
RT @Global_Mil_Info: Indian Army and Air Force installations have been placed on alert in the region after the recent drone attack against…, indian army and air force installations have been placed on alert in the region after the recent drone attack against…,0.0,0.25,negative,0.133,0.773,0.094,-0.2263,119,20
"RT @javediq16010676: @Kamranshahzad30 @DrLaalShahbaz NO  NO  NO
FAKE  NEWS
CORRUPT  PANAMA  JUDGES  NEWS
CORRUPT  ARMY  CHIEF=extension  wa…","     no  no  no
fake  news
corrupt  panama  judges  news
corrupt  army  chief=extension  wa…",-0.25,1.0,negative,0.519,0.481,0.0,-0.8271,92,13
"@Kamranshahzad30 @DrLaalShahbaz NO  NO  NO
FAKE  NEWS
CORRUPT  PANAMA  JUDGES  NEWS
CORRUPT  ARMY  CHIEF=extension… https://t.co/BBW6xYvw7G","    no  no  no
fake  news
corrupt  panama  judges  news
corrupt  army  chief=extension…  ",-0.25,1.0,negative,0.548,0.452,0.0,-0.8271,89,12
"RT @Raja_Faisal_PK: ""Whoever is fighting against Indian army in Kashmir, whether it is PLA, Pakistan Army, Burhan Wani, or Hafiz Saeed, to…"," ""whoever is fighting against indian army in kashmir, whether it is pla, pakistan army, burhan wani, or hafiz saeed, to…",0.0,0.0,negative,0.116,0.884,0.0,-0.3612,120,20
"RT @ramsha_mir: Neelum Valley RN?
Indian Army threw Bombs in Toy to these Kids . Dont you Have kids in your country ?
#INDIAISATERRORIST ht…"," neelum valley rn?
indian army threw bombs in toy to these kids . dont you have kids in your country ?
#indiaisaterrorist ht…",0.0,0.0,neutral,0.0,1.0,0.0,0.0,125,23
"Neelum Valley RN?
Indian Army threw Bombs in Toy to these Kids . Dont you Have kids in your country ?… https://t.co/sMPsdx3JXk","neelum valley rn?
indian army threw bombs in toy to these kids . dont you have kids in your country ?…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,104,21
RT @20committee: @Mark3Ds @Idz_do_Tomasza The Indian Army did an amazing job in WW2 of managing its incredible ethno-religious diversity; b…,    _do_tomasza the indian army did an amazing job in ww2 of managing its incredible ethno-religious diversity; b…,0.75,0.9,positive,0.0,0.808,0.192,0.5859,114,17
"RT @majorgauravarya: Indian Army - Join the army. Serve the nation.

Pakistan Army - Join the army. Serve yourself. 
 https://t.co/fQAXoi4y…"," indian army - join the army. serve the nation.

pakistan army - join the army. serve yourself. 
  ",0.0,0.0,positive,0.0,0.747,0.253,0.5267,99,17
"@HameedAPHC Sabar rakho.....tum jabb pagal hoo jaoge, Indian army tum ko v pagal kutta samjh k goli mar dega..... Insha-allha.","  sabar rakho.....tum jabb pagal hoo jaoge, indian army tum ko v pagal kutta samjh k goli mar dega..... insha-allha.",0.0,0.0,neutral,0.0,1.0,0.0,0.0,116,19
It's was pleasant to hear his voice when the Indian Army kicked his a$$... https://t.co/m1UyVPVHes,it's was pleasant to hear his voice when the indian army kicked his a$$...  ,0.7333333333333333,0.9666666666666667,positive,0.0,0.798,0.202,0.5106,76,14
@HameedAPHC Indian army shar hai.....iss liya china ne apni loss ka koi report nehi diya.,  indian army shar hai.....iss liya china ne apni loss ka koi report nehi diya.,0.0,0.0,negative,0.15,0.85,0.0,-0.3182,79,14
"RT @ImranKh06055036: #Indian Army For Awam
#mondaythoughts 
#CoronaVirusUpdates 
#COVID19 
#JammuAndKashmir 
#StayHomeStaySafe 
#brevet2021…"," #indian army for awam
#mondaythoughts 
#coronavirusupdates 
#covid19 
#jammuandkashmir 
#stayhomestaysafe 
#brevet2021…",0.0,0.0,neutral,0.0,1.0,0.0,0.0,120,10
"Isay kehtay hain L0®@¥ lagna,
Reportedly troops of 17 mountain Strike Corps that were suppose to be used against Pa… https://t.co/Z9C3otxNVT","isay kehtay hain l0®@¥ lagna,
reportedly troops of 17 mountain strike corps that were suppose to be used against pa…  ",0.0,0.0,negative,0.073,0.927,0.0,-0.128,118,20
"@MeghUpdates Isay kehtay hain L0®@¥ lagna,
Reportedly troops of 17 mountain Strike Corps that were suppose to be us… https://t.co/oYUM7jyxKO","  isay kehtay hain l0®@¥ lagna,
reportedly troops of 17 mountain strike corps that were suppose to be us…  ",0.0,0.0,negative,0.081,0.919,0.0,-0.128,107,18
@Mark3Ds @Idz_do_Tomasza The Indian Army did an amazing job in WW2 of managing its incredible ethno-religious diver… https://t.co/4nepxxAbVZ,   _do_tomasza the indian army did an amazing job in ww2 of managing its incredible ethno-religious diver…  ,0.75,0.9,positive,0.0,0.798,0.202,0.5859,108,16
"@kabirazad2017 @ANI Election or not, Indian army &amp; paramilitary forces will continue ??!ng £ach &amp; every j!h@d! who… https://t.co/xBIkoaDx0C","    election or not, indian army &amp; paramilitary forces will continue ??!ng £ach &amp; every j!h ! who…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,108,17
"A big battle ready in this region, conspiracy of Dron attack in consecutive two days at indian Air defence bases in… https://t.co/NN6r8fZ5hi","a big battle ready in this region, conspiracy of dron attack in consecutive two days at indian air defence bases in…  ",0.1,0.3,negative,0.325,0.536,0.139,-0.7351,118,21
"@Abuinsaan @kamranyousuf_ Only Terrorists in Kashmir are Indian army .
Indian occupation has destroyed our lives","   _ only terrorists in kashmir are indian army .
indian occupation has destroyed our lives",0.0,1.0,negative,0.399,0.601,0.0,-0.8074,91,15
@HameedAPHC Indian army wahi rahega.....bass app logo ka genaration sapna dekhte rah jayega.,  indian army wahi rahega.....bass app logo ka genaration sapna dekhte rah jayega.,0.0,0.0,neutral,0.0,1.0,0.0,0.0,82,12
"RT @RBArchive: June 22, 1949: The last Governor General of India, C. Rajagopalachari with General K.M. Cariappa, the new Commander-in-Chief…"," june 22, 1949: the last governor general of india, c. rajagopalachari with general k.m. cariappa, the new commander-in-chief…",0.0590909090909091,0.3803030303030303,neutral,0.0,1.0,0.0,0.0,126,18
"RT @TheAvenger82: #Ladakh: Government of India has moved 50,000 additional #Indian army troops to its border with China.

This is a direct…"," #ladakh: government of india has moved 50,000 additional #indian army troops to its border with china.

this is a direct…",0.0,0.0,neutral,0.0,1.0,0.0,0.0,122,20
@SOURAVM32718912 Terrorists tu Indian army hy wo jaye fr aman aye ga,  terrorists tu indian army hy wo jaye fr aman aye ga,0.0,0.0,negative,0.291,0.709,0.0,-0.6249,53,11
@20committee @Idz_do_Tomasza The British Indian Army under the Raj (and today's #IndianArmy) might be another examp… https://t.co/sglYROUpL0,   _do_tomasza the british indian army under the raj (and today's #indianarmy) might be another examp…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,104,15
@Helloshello5 @XEN0_sama @sikande15328317 @Muhamma00100118 Don't forget the 40 hijray from Indian army ? https://t.co/jP759LH5FW,   _sama     don't forget the 40 hijray from indian army ?  ,0.0,0.0,positive,0.0,0.828,0.172,0.1695,60,10
"RT @FreeKashmer: Over 4.30 lakh kanals of land in Jammu and Kashmir under occupation of Indian terrorist army. 
#GoIndiaGoBack
#gobackmodi…"," over 4.30 lakh kanals of land in jammu and kashmir under occupation of indian terrorist army. 
#goindiagoback
#gobackmodi…",0.0,0.0,negative,0.217,0.783,0.0,-0.6908,123,18
@ABCDEFG33688761 @majorgauravarya @danielocarmon @ChanakyaForum @DrSJaishankar @MEAIndia @SSIFS_MEA @adgpi Indian m… https://t.co/evHh9cxH9c,             _mea   indian m…  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,31,3
"@Grace1818Grace Please, don't say like this.

These are neither traders nor butchers, they are soldiers of the Indi… https://t.co/Gnl8Hkwlqi","  please, don't say like this.

these are neither traders nor butchers, they are soldiers of the indi…  ",0.0,0.0,positive,0.109,0.773,0.118,0.049,104,17
"Please, don't say like this.

These are neither traders nor butchers, they are soldiers of the Indian Army. On beha… https://t.co/2tHPKxikTc","please, don't say like this.

these are neither traders nor butchers, they are soldiers of the indian army. on beha…  ",0.0,0.0,positive,0.094,0.803,0.103,0.049,118,20
@monteskw Heady dose of army to already manipulated Indian psyche.,  heady dose of army to already manipulated indian psyche.,0.0,0.0,negative,0.245,0.755,0.0,-0.3818,58,9
"@rashtrapatibhvn S Gunavaradhan Indian Army..Dear President of India, salutes You. Please Grant my BattleCasualty W… https://t.co/2xVOvJuIxq","  s gunavaradhan indian army..dear president of india, salutes you. please grant my battlecasualty w…  ",0.0,0.0,positive,0.0,0.696,0.304,0.5859,103,14
"RT @iJasOberoi: A former soldier of the Indian Army, Resham Singh was tortured by UP police on 3rd May after his car was stopped at a barri…"," a former soldier of the indian army, resham singh was tortured by up police on 3rd may after his car was stopped at a barri…",0.0,0.0,negative,0.208,0.792,0.0,-0.6705,125,25
"These photos are of Yoga Day. When the Indian Army which patrols the border of its country riding on a camel, perfo… https://t.co/WxOXJjF3Fh","these photos are of yoga day. when the indian army which patrols the border of its country riding on a camel, perfo…  ",0.0,0.0,neutral,0.0,1.0,0.0,0.0,118,22
"FOR INDIA: 

Time is now to have an active role in Afganistan or else the Taliban &amp; Pakistan will together launch t… https://t.co/uktzPK7qOl","for india: 

time is now to have an active role in afganistan or else the taliban &amp; pakistan will together launch t…  ",-0.13333333333333333,0.6,positive,0.0,0.886,0.114,0.4019,122,22
"RT @kashmirosint: 44-RR, a notorious Indian Army unit illegally raided Naseer Wani’s home during 2019 lockdown/communication blockade, abdu…"," 44-rr, a notorious indian army unit illegally raided naseer wani’s home during 2019 lockdown/communication blockade, abdu…",-0.5,0.5,negative,0.172,0.828,0.0,-0.4404,123,16
RT @ForumStrategic: Interestingly these are same type of Drones which Indian Armed forces use to monitor LOC &amp; Pakistan Army shots them dow…, interestingly these are same type of drones which indian armed forces use to monitor loc &amp; pakistan army shots them dow…,0.25,0.3125,positive,0.0,0.881,0.119,0.4019,125,21
"RT @NitinSh52137484: Indian Army always with Awam
#indianarmy #india #indianairforce #indiannavy #army #indian #jaihind #bsf #instagram #lo…"," indian army always with awam
#indianarmy #india #indianairforce #indiannavy #army #indian #jaihind #bsf #instagram #lo…",0.0,0.0,neutral,0.0,1.0,0.0,0.0,120,15
